127.0.0.1 - - [17/Dec/2021:20:12:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/ HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/css/nanumfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/js/handlebars-v4.0.11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/img/beans.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/img/jack.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/img/beans2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/img/mind.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/img/beans4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:05 +0900] "GET /springhelper/assets/assets/img/pattern.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:11 +0900] "GET /springhelper/diary/list.do HTTP/1.1" 200 3790
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:11 +0900] "GET /springhelper/assets/css/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:13 +0900] "GET /springhelper/diary/list.do;jsessionid=0C26E9C1191EB9405952F5C86E2FA5A8?page=2&keyword= HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [17/Dec/2021:20:13:15 +0900] "GET /springhelper/diary/list.do?page=1&keyword= HTTP/1.1" 200 3746
